[2025-05-27 13:44:50,167] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:44:50,173] INFO django.server: "GET /static/admin/css/widgets.css HTTP/1.1" 200 11991
[2025-05-27 13:44:50,175] INFO django.server: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
[2025-05-27 13:44:50,182] INFO django.server: "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
[2025-05-27 13:44:50,183] INFO django.server: "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
[2025-05-27 13:44:50,188] INFO django.server: "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
[2025-05-27 13:44:50,201] INFO django.server: "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
[2025-05-27 13:44:50,206] INFO django.server: "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
[2025-05-27 13:44:50,225] INFO django.server: "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
[2025-05-27 13:44:50,236] INFO django.server: "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
[2025-05-27 13:45:12,965] INFO django.server: "POST /admin/store/category/add/ HTTP/1.1" 302 0
[2025-05-27 13:45:13,020] INFO django.server: "GET /admin/store/category/ HTTP/1.1" 200 13611
[2025-05-27 13:45:13,089] INFO django.server: "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
[2025-05-27 13:45:13,133] INFO django.server: "GET /static/admin/js/filters.js HTTP/1.1" 200 978
[2025-05-27 13:45:13,140] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:45:13,174] INFO django.server: "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[2025-05-27 13:45:13,174] INFO django.server: "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[2025-05-27 13:45:19,167] INFO django.server: "GET /admin/store/category/add/ HTTP/1.1" 200 12706
[2025-05-27 13:45:19,260] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:45:33,523] INFO django.server: "POST /admin/store/category/add/ HTTP/1.1" 302 0
[2025-05-27 13:45:33,557] INFO django.server: "GET /admin/store/category/ HTTP/1.1" 200 13968
[2025-05-27 13:45:33,624] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:45:42,152] INFO django.server: "GET /admin/store/category/add/ HTTP/1.1" 200 12706
[2025-05-27 13:45:42,247] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:45:49,025] INFO django.server: "GET /admin/store/category/add/ HTTP/1.1" 200 12706
[2025-05-27 13:45:49,097] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:45:51,973] INFO django.server: "GET /admin/store/category/ HTTP/1.1" 200 13747
[2025-05-27 13:45:52,077] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:45:53,754] INFO django.server: "GET /admin/store/category/1/change/ HTTP/1.1" 200 12944
